maturity,rmse_yield_curve
ON,2.2200845304635846
1W,2.0190048283917217
2W,2.1311534315875695
1M,2.254530546527027
2M,2.515090705001183
3M,2.955541240772944
6M,3.6318170071088454
1Y,5.48319113713458
2Y,5.140875188803173
OVERALL,3.3891142985919736
