,beta0,beta1,beta2
2025-10-01,118.82609735262798,-90.71372050689408,-73.02622642204157
2025-11-01,119.05383418030266,-91.08721982667093,-74.23742153256372
2025-12-01,118.79210475668867,-90.81895295201652,-72.91315301019029
2026-01-01,118.83484860183657,-90.81870826504442,-73.20603320055436
2026-02-01,118.86842376933592,-90.88090613576472,-73.50309804850602
2026-03-01,118.84994340769683,-90.86096755084405,-73.24401677442859
