date,beta0,beta1,beta2
2025-04-30,124.3012447420818,-93.38002027529805,-63.67088547534746
2025-05-31,124.39783808505508,-93.65683236613482,-62.84914688917
2025-06-30,124.31610543570771,-93.34799090012912,-62.4241490533732
2025-07-31,124.32399146553908,-93.38757491609104,-62.90690057127047
2025-08-31,124.33765683146528,-93.44832094617999,-62.80639859489668
2025-09-30,124.3315497985749,-93.4178948408824,-62.69733400038196
