,date,beta0,beta1,beta2,rmse
0,0,101.16962823723294,-83.44930463566574,-52.96230885654943,0.10907498254175235
1,1,99.28010369800283,-81.59451823596164,-50.26332883728581,0.14258983525218413
2,2,93.74206562405219,-76.31748170645564,-42.2565276982016,0.07268344299820828
3,3,96.64598402927341,-78.9168974767708,-48.396196974621716,0.04164726797389119
4,4,97.33586591895589,-79.8917102468391,-49.61141019674541,0.10573398999122392
5,5,95.71272257923003,-78.51188205128317,-49.17470274758798,0.11711699433769993
6,6,92.33243471169513,-75.56113663391707,-42.54136008154009,0.1870897366539356
7,7,101.40544135454515,-84.50955097746379,-57.623134148829614,0.22291278817596982
8,8,91.1452928351506,-74.90615085471778,-43.94814220612422,0.20853863627318042
9,9,86.22962427530541,-70.25324901567107,-38.07173925657488,0.10501400494884809
10,10,92.6393816315053,-76.52473830994435,-47.61889588535147,0.1154632108030641
11,11,95.97571797160613,-79.91780064613855,-51.916284031340595,0.10678962083752468
12,12,87.96521580897542,-72.04643678432345,-38.458722491396045,0.19474581625630982
13,13,89.4582984303949,-73.60466467156124,-43.22478061124697,0.09803718191731106
14,14,90.76228301372576,-75.33109293352643,-49.891379133778905,0.1658292959745073
15,15,92.41191198807155,-77.224953582517,-52.36691741258073,0.18756237159354436
16,16,79.81322906516932,-65.5609504942616,-34.457373730720995,0.10302465569442515
17,17,94.51542676964014,-80.11154308312808,-55.06122204871839,0.15027419869827102
18,18,88.15913679392997,-74.26121368574042,-44.322034098971116,0.17207335090161308
19,19,92.21297791103986,-77.99853425894861,-49.79107075432401,0.13958376943727813
20,20,86.17850567750767,-72.05543934172516,-42.57826083997426,0.1505483737614316
21,21,95.14043764055977,-80.80925931791322,-55.42720921969112,0.12133580561604441
22,22,86.26341880632562,-72.05778991339163,-43.16785846478437,0.1672775185556997
23,23,86.98252018476464,-72.84405877615028,-41.5423191207893,0.2061715144614127
24,24,96.28118239622924,-81.73439199337982,-54.25841417664363,0.17334628653812376
25,25,96.36932466173363,-81.62028279282855,-50.99165781179473,0.23723198804012385
26,26,96.99462703872182,-82.17846665013217,-49.823948608091506,0.16758671518791315
27,27,89.77925908857824,-74.59270744650027,-39.09230059515008,0.1520811773698412
28,28,94.75435253136736,-79.07143214781371,-43.1098350589165,0.0882690298023126
29,29,103.83156938950233,-87.4654408999553,-57.00406904192564,0.11576237769243464
30,30,97.37873987895905,-80.93350032675102,-47.49513254464393,0.1349576543355061
31,31,97.2995027508936,-80.47668801028432,-45.081401807342644,0.31082574418164344
32,32,106.57288023880491,-89.08341929543958,-53.36426720991889,0.10001518990271319
33,33,100.05283147819287,-82.26908475155837,-42.245552064705954,0.1377070519654344
34,34,97.89366881862905,-79.56271841850788,-36.66156506494317,0.2541775753792634
35,35,96.22492360537372,-76.6809766132676,-24.013006942830113,0.09907469696473958
36,36,125.86094902231788,-95.83424300723898,-29.438069468312154,0.3253487997216653
37,37,109.77648999456991,-82.23771501685171,-47.026738188560806,0.16944599262106247
38,38,124.4944158775173,-101.00687786678567,-75.52207377209496,0.18840459410054106
39,39,121.47395395413531,-101.29470648771704,-77.28911715954206,0.15774607805892865
40,40,118.00791655290196,-98.6918855554847,-73.83892226301597,0.17402023457189067
41,41,118.11429829652552,-99.83586038524383,-74.56951499800601,0.3537150334840286
42,42,120.71128185385383,-102.77245126738208,-77.7596894140497,0.20785691879779453
43,43,122.05035683106325,-104.22754604527867,-80.22972714553603,0.3405001975198199
44,44,119.49408017823764,-101.80925838190629,-75.74857994903533,0.4394327025171381
45,45,120.26194015169484,-102.33582430269492,-78.0241003291059,0.18822624415647257
46,46,118.36391719623799,-100.63934466257686,-73.58603753512034,0.3164910758414847
47,47,122.27718914568602,-104.32657134757297,-79.661482882175,0.3687994448830922
48,48,120.90570655367142,-103.1464398112352,-76.58330246991451,0.37890479696485235
49,49,120.90919265671795,-103.30278913888115,-76.67009942580393,0.2511175161437586
50,50,117.31938634941204,-99.59937646699217,-72.49145974822325,0.20803976553851453
51,51,122.91913940022282,-105.04435048977622,-79.6421951997156,0.3868083171918133
52,52,121.691167193394,-103.42239955826511,-75.22349896392927,0.28000892800035815
53,53,122.08694198397548,-101.51816543347668,-71.16981588352333,0.2874451790928699
54,54,121.86158057914453,-99.06129306057814,-65.79887084435057,0.38977533142299103
55,55,124.57841605442273,-101.2742025146793,-59.463519303926226,0.2098325669248801
56,56,126.61388413720661,-101.3775209360761,-67.89790152763338,0.3251696241171908
57,57,120.769557002897,-94.90614572400999,-57.52773719174586,0.3797224357908022
58,58,118.58252206291331,-92.59085910944545,-54.566713292135134,0.388219832003232
59,59,121.89856151715037,-95.70677535030399,-61.9073941191732,0.2194449040618984
60,60,124.08379444269643,-97.97114631097838,-62.93835931485702,0.3423342677893279
61,61,128.49632573804146,-102.35077082683712,-68.26176995075214,0.3779177338533774
62,62,133.0450970458561,-106.86095334617538,-70.34951618498631,0.2695597904744906
63,63,140.71463184215048,-114.52014491941995,-70.94689264766536,0.19328724495174585
64,64,143.59281121200587,-116.81742899772281,-70.86115069451054,0.2603444727442475
65,65,144.58884344092743,-116.86291050346901,-71.37745148174432,0.28362336114948894
66,66,147.91912214358157,-118.99142945619016,-76.45306778837943,0.3256853067366957
67,67,155.84872815046845,-126.25930069216616,-78.70065163693565,0.2933269458582056
68,68,158.49339583552694,-127.59640803762147,-72.55686855136679,0.16715714520201988
69,69,159.12552970472692,-127.41531693824285,-73.42234988771763,0.24228579778675863
70,70,148.28756921286583,-117.44561740054172,-71.96629989050453,0.2472435078045593
71,71,139.6484658163395,-108.73024210290671,-62.93523705276981,0.19965281729496231
72,72,133.68325444567876,-102.25523916369028,-61.04401812304879,0.15769889311947963
73,73,134.21524373262056,-103.06727515444828,-59.86573304089313,0.25024656525839034
74,74,140.67857626329746,-109.25595194689313,-75.707607059509,0.18833498381275926
75,75,132.1691706989387,-101.82763191094233,-66.6581679809777,0.12744807573229372
76,76,132.62390797404433,-103.16463403970165,-77.7543062619335,0.19158267813148372
77,77,131.01466044462703,-102.6348733846865,-81.03864447120264,0.32300777569526046
78,78,129.58134009192185,-102.0103612318977,-75.25738058879335,0.34408289857367935
