,date,beta0,beta1,beta2,rmse
0,2019-03-31,89.24827874637721,-71.50593385936398,-46.91112962898804,0.12217334924157205
1,2019-04-30,87.93419171406065,-70.22718912619943,-44.90236290895921,0.150483811458118
2,2019-05-31,84.06122796557206,-66.61819567659421,-38.919797088597065,0.08276892927721838
3,2019-06-30,85.78433174633427,-68.03242650896472,-43.39320301328978,0.0413546910196978
4,2019-07-31,86.21442932163384,-68.74711587031597,-44.32167879126217,0.10652633517773258
5,2019-08-31,84.68981183846827,-67.466428141961,-43.81099925572016,0.1194392048915968
6,2019-09-30,82.57070593495162,-65.7821347229032,-38.93020193217138,0.19413631842412538
7,2019-10-31,88.60474514365139,-71.68356123378098,-50.1689809087325,0.22664260327275554
8,2019-11-30,81.25512841019403,-64.9940437030008,-39.94649811579089,0.20611414463433403
9,2019-12-31,77.54735578336516,-61.55215719452467,-35.39419744202778,0.10294945934191867
10,2020-01-31,81.8655212832785,-65.73186326810236,-42.36268127899013,0.1289019451611175
11,2020-02-29,84.32416401885379,-68.24477986485002,-45.69859780796091,0.11977011415874354
12,2020-03-31,79.22520072404987,-63.28576231563666,-35.99406600642612,0.1902392536195333
13,2020-04-30,79.64362886709397,-63.77119890581618,-39.14410329373353,0.1055008736255962
14,2020-05-31,79.71666399546609,-64.26102136956108,-43.88239202401677,0.1620607291794113
15,2020-06-30,80.84645242320788,-65.63411467514887,-45.771535387658474,0.18450919361731477
16,2020-07-31,71.84036155186865,-57.573396189362846,-32.21461908638172,0.10967616045159717
17,2020-08-31,82.34911808548084,-67.9194229540536,-47.92256424963629,0.149164786921542
18,2020-09-30,78.16970216001897,-64.25094054650891,-40.03312712564884,0.17240298975738047
19,2020-10-31,81.1723485468089,-66.93224869277547,-44.274191056697774,0.1307407241039846
20,2020-11-30,76.68000952307513,-62.533393402614635,-38.73537555919573,0.14027732513320038
21,2020-12-31,82.82596608858304,-68.47081336377315,-48.16855739989486,0.12902228784276756
22,2021-01-31,76.42075292012485,-62.19856040964437,-38.770040393627355,0.17719441889073648
23,2021-02-28,77.47273825736129,-63.317296002948595,-37.881188887169756,0.21196778556937565
24,2021-03-31,84.18691622772783,-69.61622387927603,-47.56498263434415,0.17762289170584722
25,2021-04-30,84.85871902433969,-70.08869466299923,-45.344892847597286,0.24367932990032745
26,2021-05-31,85.71661171840215,-70.87937865880477,-44.69526403742615,0.17488032471351592
27,2021-06-30,80.7697486769276,-65.5652746090994,-36.64050119887645,0.15466357162897873
28,2021-07-31,84.85524763260658,-69.15345008941377,-39.88891175345664,0.09707771123052363
29,2021-08-31,91.10719897558388,-74.71551243618119,-50.23085595295475,0.12093225085171669
30,2021-09-30,86.57880565678758,-70.11336766322283,-42.99782183548784,0.14316586087746505
31,2021-10-31,86.96620061650958,-70.12447024003384,-41.3442972113543,0.31476149179163826
32,2021-11-30,94.49690472268966,-76.9840884455812,-48.06769671521681,0.10982125344865243
33,2021-12-31,90.42246119064534,-72.61496535331848,-40.05478613237764,0.12660938198173
34,2022-01-31,89.30412107374734,-70.95465445910564,-35.874497822310765,0.25356669516571617
35,2022-02-28,90.08919998376467,-70.53350102483587,-27.134987007424495,0.10239999134296593
36,2022-03-31,118.08822828930836,-88.0538288583574,-33.21292551266494,0.33399964968161844
37,2022-04-30,102.25414655725768,-74.61876119897873,-47.53373348645208,0.1938038332650845
38,2022-05-31,112.74137327874449,-89.11100267821585,-71.22860084700643,0.29395388284203877
39,2022-06-30,109.54768022490138,-89.21610524620625,-72.71819269661798,0.21953337640983855
40,2022-07-31,106.52052041490158,-87.06460022929221,-69.63687811138605,0.2790199085909479
41,2022-08-31,106.46497332788954,-88.04925537285771,-70.2578050727858,0.4375021577507733
42,2022-09-30,108.6698145348251,-90.58031287818156,-73.23361326460657,0.2819083221809649
43,2022-10-31,109.5474374746744,-91.57844730150929,-75.06074342348052,0.4435325034626814
44,2022-11-30,107.5342018195592,-89.72044369922806,-71.182315072381,0.5557490563063101
45,2022-12-31,108.15503498416773,-90.08091090866799,-73.28595763706063,0.2929727864695161
46,2023-01-31,106.81528969312892,-88.95707997450224,-69.6168990699915,0.4178384602788135
47,2023-02-28,109.80236707391474,-91.71078175381346,-74.5605976834021,0.48585938300998305
48,2023-03-31,108.86391531358446,-90.96965283012476,-72.10936240343605,0.491067008303422
