"date","beta0","beta1","beta2","rmse_fit","mae_fit"
2019-03-31,17.2622331239067,0.368802963395177,0.100782881653997,8.41138743385135,5.62465338062393
2019-04-30,14.3597576607318,0.716595071490427,0.174480834333721,10.3628295774581,8.23092341026098
2019-05-31,12.0303244322514,0.998788252751415,0.225979301613927,12.0227309845741,10.2073513098022
2019-06-30,10.170635761675,1.23679681260892,0.261675067597404,13.3688530585469,11.8552980343125
2019-07-31,8.6781079852531,1.42743878613621,0.286871935265546,14.322423213612,12.8988739159835
2019-08-31,7.48350054892991,1.5831985587443,0.304521406708871,14.8878239643648,13.5785155603261
2019-09-30,6.53760085104623,1.71697665099933,0.319311706630614,15.6346640122322,14.2967922217293
2019-10-31,5.78678823341386,1.8316854118857,0.329948737848108,15.9027067833385,14.6536679755991
2019-11-30,5.18201485580217,1.92052108858859,0.337700863925918,15.9400299462978,14.7073174094732
2019-12-31,4.70187661268579,1.99561499925049,0.343791077676728,16.0587674358984,14.8680931249439
2020-01-31,4.3272522388844,2.06464445191536,0.349128549783135,16.3014920503019,15.1372053736006
2020-02-29,4.03319170704926,2.12479073354585,0.353937902648263,16.4940605120732,15.3162887029704
2020-03-31,3.81250788761089,2.18473988719492,0.359927205827789,16.9497922900933,15.7366729605505
2020-04-30,3.62870800052381,2.22754841483448,0.363183692284152,16.6649223746335,15.5159320959037
2020-05-31,3.45464640333749,2.24005304877595,0.36176011356915,15.8412537651488,14.7728898661502
2020-06-30,3.31033746964534,2.2455480043466,0.360154605621012,15.7436291245307,14.6564408589708
2020-07-31,3.17620271316284,2.23281626923441,0.357659167994916,15.3676206710694,14.2271051092421
2020-08-31,3.06888172081791,2.22273092494345,0.355425014657911,15.4002258852507,14.232048908696
2020-09-30,2.97944091571144,2.21036147446322,0.354134747570964,15.4382396839274,14.195255472153
2020-10-31,2.91981467541303,2.21108191068203,0.354124271016241,15.7054697273968,14.4843131147549
2020-11-30,2.87062886340369,2.21088714797648,0.35366543504826,15.5942189740654,14.4206001803438
2020-12-31,2.83307877402651,2.21253183953096,0.353254879385904,15.6308991978098,14.4581749988603
2021-01-31,2.80508498001295,2.21564953292214,0.353225408803008,15.6501306148666,14.5017754572749
2021-02-28,2.78936574853287,2.22276193154992,0.354689802881878,15.9503216839692,14.7238703092174
2021-03-31,2.78595457834526,2.23661880995638,0.35657672651791,16.1721332721288,14.9494638759279
2021-04-30,2.80103310341372,2.26191663194108,0.360807142658395,16.7416302529133,15.4500461105861
2021-05-31,2.82052765077282,2.28777833879642,0.365525890133656,17.018097816569,15.675304253552
2021-06-30,2.85427116123263,2.32438662506509,0.371162915266121,17.4123934342285,16.1162690687294
2021-07-31,2.90266710493912,2.37141507422905,0.378441006112895,18.0338400065995,16.6921880007724
2021-08-31,2.9522097477927,2.41950018616225,0.384585617321188,18.194602140211,16.9173769500336
2021-09-30,2.99746029087715,2.4627181468652,0.390247530682557,18.3256162201748,17.0598567397188
2021-10-31,3.05169781264553,2.51230962805815,0.397110324865318,18.8321015962438,17.5383245656572
2021-11-30,3.12431810554442,2.57590884525693,0.406553639815793,19.7224840456193,18.3410415871367
2021-12-31,3.19929689782658,2.64092148131265,0.416280298247188,20.1747526975831,18.7850037982521
2022-01-31,3.28376335278988,2.71358177303144,0.427077001823558,20.8250756471719,19.4219038649059
2022-02-28,3.423306621276,2.83097613308553,0.445477234189837,22.9143550963705,21.3654620281912
2022-03-31,3.98546614128182,3.3109504689197,0.510681050797703,34.4547371194244,32.855064725511
2022-04-30,4.36939829657763,3.54846821460907,0.580438318634259,32.5117879764542,30.0451520595915
2022-05-31,4.47878288814013,3.56879297023455,0.615175330766071,29.0534300585592,25.7697595808447
2022-06-30,4.42019286114228,3.4643182848738,0.625888762056494,26.0654575148375,22.4254850507689
2022-07-31,4.34163090185384,3.35567112178079,0.630470583712078,25.31127211172,21.6728684818402
2022-08-31,4.24524756072339,3.23976871996068,0.630866431472122,24.7646804565021,20.947690935989
