"date","1W_fcst","2W_fcst","1M_fcst","2M_fcst","3M_fcst","6M_fcst","1Y_fcst","2Y_fcst"
2019-03-31,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606
2019-04-30,14.1020307698735,14.0992631407217,14.0928905294514,14.0815119078114,14.0706722978064,14.0411765311907,13.9939274554204,13.9329401093149
2019-05-31,12.0554252348256,12.0498351010975,12.0369830606324,12.0141017923695,11.9923823029367,11.9336522440417,11.8406411806214,11.7223684768667
2019-06-30,10.4152279643284,10.4072650483901,10.3889729993906,10.3564583780991,10.3256553461982,10.242653314936,10.1120432483594,9.94737854874774
2019-07-31,9.11577541208334,9.10573416203727,9.08268349928642,9.04176384220118,9.00306100356139,8.89907289186458,8.7363140757263,8.5326037428469
2019-08-31,8.07254289577292,8.06080311588762,8.03386612072929,7.98609128930576,7.94095616598832,7.81993275633643,7.63123155167431,7.39628232949361
2019-09-30,7.24002601561374,7.22686924084678,7.19669234552267,7.14321037412627,7.09272937478684,6.95759239729296,6.74752976140306,6.48708880988853
2019-10-31,6.58908922625177,6.57471176221663,6.54174408952913,6.4833470721012,6.42826328272619,6.28098003201613,6.05254981513553,5.77021859493268
2019-11-30,6.07912222612229,6.06367771017968,6.02827204998825,5.96558660480626,5.90649310052006,5.74865900898601,5.50436398019691,5.20328462787311
2019-12-31,5.66552762275543,5.64925189671411,5.61194745619852,5.54592328442412,5.48370950608881,5.31767207615299,5.0610632025022,4.74546962193825
2020-01-31,5.34077356543891,5.32379059870718,5.28487090792019,5.2160077247171,5.15114207736648,4.97813949848665,4.71109545747444,4.38323775077666
2020-02-29,5.09563437811112,5.07799868800829,5.03758844804856,4.96610608677006,4.89879468968126,4.71937211041296,4.44272090189551,4.10359228047475
2020-03-31,4.90792671647879,4.88972388065274,4.84801840002394,4.77425965781352,4.70482213888394,4.51981628102028,4.23480317961056,3.88585236789858
2020-04-30,4.77877694505867,4.76002072989291,4.71705057709381,4.64106617952356,4.56954635929016,4.37905501343076,4.08577491643512,3.72702136040245
2020-05-31,4.66557199131758,4.6464104573976,4.60251476374212,4.52490414895006,4.4518659499922,4.25738968965216,3.95814869785195,3.5924060690543
