"date","1W","2W","1M","2M","3M","6M","1Y","2Y"
2019-03-31,17.6275384623419,17.6240789259021,17.6161131618142,17.6018898847642,17.588340372258,17.5514706639884,17.4924093192755,17.4161751366436
2019-04-30,15.069281543532,15.0622938763719,15.0462288257905,15.0176272404618,14.9904778786709,14.9170653050522,14.8008014757768,14.6529605960833
2019-05-31,13.0190349554104,13.0090813104877,12.9862162492382,12.9455729726239,12.9070691827477,12.80331664367,12.6400540604493,12.4342231859347
2019-06-30,11.3947192651042,11.3821677025466,11.353354374108,11.3022048027515,11.2538262544517,11.1238411148307,10.9203925946579,10.6657546785586
2019-07-31,10.0906786197162,10.0760038948595,10.0423326509116,9.9826141116322,9.9261952074854,9.77491594542053,9.53903943959288,9.24535291186701
2019-08-31,9.05003251951718,9.03358655105848,8.99586543190334,8.92901296765784,8.86591171848355,8.6969904966162,8.43441220175382,8.10886101236066
2019-09-30,8.23636153281471,8.21838970277079,8.17718011191141,8.10418384012651,8.03532910340773,7.85122504002016,7.56568726891941,7.21277324366585
2019-10-31,7.59890278265286,7.57959713772459,7.53534006248531,7.45698325600782,7.38311637565007,7.18582376123251,6.88045497524614,6.50410578484139
2019-11-30,7.08190952844429,7.06156487089264,7.01493432024815,6.93240410553015,6.85463688261101,6.64709009519124,6.32632900312775,5.93183702742281
2019-12-31,6.67596695679864,6.65473824838397,6.60608863490024,6.52000965589637,6.4389275967081,6.22267437310831,5.88886932184305,5.47904718847083
2020-01-31,6.3695429726389,6.34749836001036,6.2969855600607,6.20763260846257,6.12349336210157,5.8992151380162,5.55340112736939,5.12949035059344
2020-02-29,6.13490839559848,6.11215485081592,6.06002300002992,5.9678245722669,5.88102767360493,5.64977035127535,5.2935039745132,4.85731545987322
2020-03-31,5.97347118132334,5.95002591236613,5.89631322136726,5.80133272440444,5.7119329491127,5.47381876678845,5.1072186455439,4.65877670050306
2020-04-30,5.83196498914698,5.808013071747,5.75314345467765,5.65613018618757,5.56483243749024,5.3217371120652,4.94768587231494,4.49050758631788
2020-05-31,5.67022701924055,5.64609754450554,5.59082463078327,5.4931101664011,5.4011665172523,5.15641882055007,4.78002350652927,4.32032492542577
2020-06-30,5.53132086539895,5.50710116753103,5.451624065262,5.35355715011966,5.26129191810828,5.01573668049245,4.63824216136529,4.17744913547019
2020-07-31,5.38458780271696,5.36049978033467,5.3053247422185,5.20779333479897,5.11603375607551,4.87183307804877,4.49644687200745,4.03827247745748
