,beta0,beta1,beta2
2025-10-31,120.78139249138016,-92.09780516641443,-71.35770118751975
2025-11-30,119.88162877695027,-90.6317250159337,-69.53314333044949
2025-12-31,121.16214062049241,-91.59506768347526,-71.41230383569834
2026-01-31,121.74615487955944,-92.10398328048112,-72.52044400208777
2026-02-28,121.89489112906212,-92.29593578333697,-72.91319590326391
2026-03-31,122.35760880122103,-92.66146506916215,-73.13018795221654
