date,beta0,beta1,beta2
2025-04-30,122.36098543460189,-91.02895660834115,-61.04954811440975
2025-05-31,123.47376671059213,-92.10027001801703,-62.46981157286261
2025-06-30,123.17448138477647,-91.77816424720888,-61.892393853300106
2025-07-31,123.6773937599114,-92.09653650572785,-61.899009623645945
2025-08-31,124.17340139707005,-92.33642897147382,-61.96608500899992
2025-09-30,124.5935028951027,-92.55235525351401,-62.19431131840456
